	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049	Pop050	Pop051	Pop052	Pop053	Pop054	Pop055	Pop056	Pop057	Pop058	Pop059	Pop060	Pop061	Pop062	Pop063	Pop064	Pop065	Pop066	Pop067	Pop068	Pop069	Pop070	Pop071	Pop072	Pop073	Pop074	Pop075	Pop076
Pop051	0	-0.01	0	0.008	0.007	-0.028	0.016	0.03	0.083	0.01	-0.015	-0.016	0.052	0.002	0.021	0.021	0	-0.035	0.046	0.105	0.008	0	0.027	0.047	0.022	0	0.011	0.02	0	0.007	0.102	0.015	0	0.011	0.053	0.021	0	0	0.041	0.093	-0.012	0	0	0	0.056	0	-0.008	0	0.048	0	0	0	0.073	0.041	0.002	-0.004	0.005	0.02	0.021	0	0.038	-0.011	0.024	0.132	0.125	-0.028	-0.016	0.221	0.058	0	0	0.042	0	0	0	0
Pop052	0.093	-0.04	0	0	-0.005	0.016	-0.038	0	0.032	0.055	-0.042	0	-0.038	-0.054	0.047	0.119	0	-0.007	-0.038	-0.005	-0.032	0	0.009	0.046	0	0	0.051	-0.003	0	0.027	0	0.143	0	0.019	0	-0.028	0	0	-0.011	0.021	0.019	0	0	0	-0.089	0	-0.02	0.104	0.029	-0.002	0	0	-0.066	0.036	-0.06	-0.096	0	0	-0.068	-0.012	0	0.025	-0.023	0.016	0.14	-0.009	0.033	0	0.045	0	0	0.056	0	0	0	0
Pop053	-0.04	0.021	0	0	0.027	0.017	-0.013	0.06	-0.085	0.074	0.056	0.086	0.031	0.035	0.037	0	0	0.108	0.042	0.097	0.026	0	0.118	0.088	0.067	0	0.002	0.053	0	0.047	0.028	0.029	0	0.073	0.055	0.01	0	0	0.015	0.076	0.063	0	0	0	-0.028	0	0.046	0.053	0.096	0.024	0.073	-0.066	0	0.073	-0.018	0.011	0.054	0.076	0.012	0.02	0.009	0.027	0.006	0.044	0.014	0.021	0.033	0.046	0.026	0	0	-0.012	0	0	0	0
Pop054	0.085	-0.007	0	0.045	0.03	-0.018	0.045	0.052	0.037	-0.021	0.038	0	0.009	0.123	0.03	0.068	0	-0.114	0.05	0.032	-0.006	0	0.142	0.022	-0.012	0	0.014	0.014	0	0.077	0.052	0.036	0	0.045	0.025	0.036	0	0	0.025	0.127	0.051	0	0	0	0.036	0	0.003	0.022	0.059	0.028	0.041	0.036	0.073	0	0.001	0.044	0.001	-0.023	0.005	0.194	0.032	0.034	-0.037	0.01	0	0.034	-0.003	0	-0.097	0	0	0.035	0	0	0	0
Pop055	-0.017	-0.002	0	-0.034	0.002	-0.018	-0.025	0.047	0.018	-0.013	-0.026	-0.06	-0.028	0.006	-0.002	0.022	0	0.008	-0.012	-0.018	-0.004	0	0.015	0.034	-0.009	0	-0.026	0.005	0	0.001	0.022	-0.022	0	-0.015	0.007	0.02	0	0	0.002	0.036	0.024	0	0	0	-0.023	0	-0.018	0.023	0.036	0.016	0.002	-0.06	-0.018	0.001	0	-0.005	-0.011	0.007	0.021	-0.035	0.01	-0.02	0.031	0.04	-0.043	-0.003	0.011	-0.06	-0.054	0	0	0	0	0	0	0
Pop056	0.009	0.008	0	-0.074	0.009	-0.008	-0.014	0.017	-0.038	-0.021	-0.018	0.026	0.007	0.005	-0.009	0.009	0	0.065	-0.01	-0.013	0.017	0	0.049	0.028	-0.012	0	-0.04	0.016	0	0.008	-0.004	0.012	0	0.022	0.012	-0.002	0	0	0.004	0.041	0.032	0	0	0	0.017	0	-0.002	0.008	0.045	0.003	-0.004	-0.096	0.011	0.044	-0.005	0	0.003	-0.019	-0.022	0.015	0.019	-0.007	-0.005	-0.003	0.185	-0.016	0.027	-0.01	0.013	0	0	-0.002	0	0	0	0
Pop057	0.009	0.013	0	0	-0.008	-0.011	-0.006	0.004	-0.045	0.022	0.001	0	-0.032	0	0.011	0.018	0	-0.015	0.035	0.01	0.038	0	0.029	0.019	-0.066	0	-0.038	0.018	0	0.039	-0.024	0.015	0	0.015	0.02	0.057	0	0	-0.008	0.02	0.021	0	0	0	0.094	0	0.006	-0.001	0.036	0.01	0.005	0	0.054	0.001	-0.011	0.003	0	-0.014	0.036	0.046	0.039	-0.024	-0.019	0.017	0	-0.016	-0.004	0	0.184	0	0	0.029	0	0	0	0
Pop058	0.02	-0.019	0	0	-0.004	0	0.015	0.026	0	0.033	-0.014	-0.047	-0.063	-0.019	0.01	0.002	0	0.191	0.003	0.027	-0.021	0	0.001	0.047	0.009	0	-0.042	0.013	0	0.005	-0.026	-0.078	0	0.001	0.005	-0.069	0	0	0.032	0.013	0.047	0	0	0	0.003	0	0.024	0.033	-0.005	0.012	0.02	0	0.076	-0.023	0.007	-0.019	-0.014	0	-0.018	-0.044	0.003	-0.017	-0.031	-0.012	0.013	-0.021	0.018	-0.055	-0.051	0	0	0.074	0	0	0	0
Pop059	-0.013	0.007	0	0	0.008	-0.002	-0.003	0.043	0.024	0.058	-0.008	-0.049	0.042	-0.011	-0.007	-0.042	0	0.115	0.048	0.006	-0.008	0	0.08	0.065	0.044	0	-0.019	0.036	0	0.033	0.015	0.021	0	0.033	0.106	0.041	0	0	0.019	0.006	0.017	0	0	0	0	0	0.013	-0.004	0.068	-0.006	0.021	-0.068	0.012	0.005	0.021	-0.022	0.036	-0.018	0	0.009	-0.032	-0.007	-0.004	0.058	0.013	-0.018	0.035	0.075	0.055	0	0	0.051	0	0	0	0
Pop060	-0.02	-0.033	0	-0.011	0.006	-0.005	-0.019	0.066	0	-0.028	-0.039	-0.011	-0.016	0.049	-0.014	-0.032	0	-0.058	-0.032	0.035	-0.023	0	0.008	0.062	-0.01	0	0.004	0.058	0	-0.009	0.038	-0.003	0	0.012	0.003	0.038	0	0	0.04	-0.037	0.047	0	0	0	-0.052	0	-0.029	0.05	0.058	-0.011	0	-0.012	0.02	0.194	-0.035	0.015	0.046	-0.044	0.009	0	0.078	0.004	0.01	0.056	-0.071	-0.018	0.058	-0.038	0.012	0	0	-0.012	0	0	0	0
