	Pop001	Pop002	Pop003	Pop004	Pop005	Pop006	Pop007	Pop008	Pop009	Pop010	Pop011	Pop012	Pop013	Pop014	Pop015	Pop016	Pop017	Pop018	Pop019	Pop020	Pop021	Pop022	Pop023	Pop024	Pop025	Pop026	Pop027	Pop028	Pop029	Pop030	Pop031	Pop032	Pop033	Pop034	Pop035	Pop036	Pop037	Pop038	Pop039	Pop040	Pop041	Pop042	Pop043	Pop044	Pop045	Pop046	Pop047	Pop048	Pop049
Pop040	0.322	0.256	0.174	0.432	0.148	0.405	0.344	0.471	0.114	0.315	0.096	0.072	0.397	0.086	0.315	0.411	0.076	0.063	-0.576	0.505	0.251	0.247	0.381	0.341	0.072	0.336	0.323	0.089	0.319	0.077	0.116	0.056	0.071	0.03	0.07	0.346	0.051	0.065	0.14	0	0.28	0.074	0.243	0.105	0.443	0.116	0.065	0.026	0.112
Pop041	-0.055	0.015	-0.015	0.024	-0.012	0.034	0.063	0.075	-0.145	-0.045	0.015	-0.01	0.072	0.042	0.085	0.062	0.017	0.171	-0.337	0.08	0.062	0.076	0.055	0.063	0.069	0.067	0.078	0.071	0.08	0.274	0	0.065	-0.003	-0.038	0.024	0.079	-0.01	0.002	0.007	0.28	0	0.02	0.701	-0.212	0.025	-0.003	-0.031	0.029	-0.205
Pop042	-0.069	-0.038	0.05	0.017	0.042	0.025	0.042	0.079	-0.217	-0.065	0.044	0.045	0.085	0.007	0.058	0.078	0.041	-0.012	-0.743	0.082	-0.013	-0.004	0.034	0.043	0.031	0.047	0.053	0.023	0.053	0.061	0.026	-0.001	-0.011	-0.002	0.001	0.047	-0.016	0.002	0.004	0.074	0.02	0	0.16	-0.238	0.018	0.006	0.001	0.02	-0.238
Pop043	0.963	0.801	0.477	0.953	0.436	0.915	0.802	0.913	0.948	0.945	0.337	0.298	0.812	0.403	0.743	0.837	0.267	0.366	NA	0.953	0.755	0.735	0.866	0.801	0.261	0.787	0.761	0.334	0.753	0.095	0.386	0.193	0.221	0.141	0.201	0.794	0.155	0.217	0.38	0.243	0.701	0.16	0	0.974	0.967	0.349	0.218	0.184	0.99
Pop044	-0.042	-0.157	-0.261	-0.123	-0.286	-0.139	-0.147	-0.12	0.09	-0.07	-0.232	-0.264	-0.17	-0.214	-0.117	-0.192	-0.234	-0.006	0.723	-0.007	-0.082	-0.073	-0.132	-0.15	-0.165	-0.13	-0.136	-0.172	-0.136	0.044	-0.24	-0.189	-0.26	-0.295	-0.236	-0.095	-0.277	-0.259	-0.242	0.105	-0.212	-0.238	0.974	0	-0.084	-0.254	-0.287	-0.236	0.125
Pop045	0.04	0.115	-0.031	-0.022	-0.055	0.043	0.081	0.046	0.175	0.095	0.026	-0.033	0.031	0.085	0.108	0.01	0.019	0.351	0.668	0.088	0.167	0.182	0.075	0.07	0.131	0.088	0.096	0.122	0.094	0.401	0.016	0.113	-0.004	-0.06	0.02	0.119	-0.018	0.001	0.012	0.443	0.025	0.018	0.967	-0.084	0	0.002	-0.052	0.019	0.079
Pop046	-0.086	-0.044	0.018	-0.001	0.008	0.009	0.03	0.061	-0.225	-0.08	0.031	0.016	0.067	-0.015	0.048	0.06	0.025	0.007	-0.693	0.065	-0.012	-0.001	0.024	0.031	0.044	0.034	0.044	0.021	0.043	0.108	0.002	0.021	-0.001	-0.019	0.001	0.04	-0.008	-0.003	-0.001	0.116	-0.003	0.006	0.349	-0.254	0.002	0	-0.012	0.007	-0.256
Pop047	-0.13	-0.082	0.007	-0.054	0.014	-0.043	-0.011	0.006	-0.263	-0.124	0.007	0.017	0.022	-0.023	0.008	0.015	0.023	-0.033	-0.764	0.005	-0.054	-0.043	-0.027	-0.012	0.022	-0.005	0.001	-0.001	0.004	0.087	0	-0.01	-0.013	-0.02	0.012	-0.004	-0.014	-0.017	-0.013	0.065	-0.031	0.001	0.218	-0.287	-0.052	-0.012	0	0.014	-0.287
Pop048	-0.068	-0.041	0.05	0.018	0.033	0.022	0.039	0.079	-0.216	-0.065	0.046	0.032	0.082	-0.011	0.05	0.078	0.04	-0.008	-0.734	0.083	-0.018	-0.006	0.033	0.042	0.032	0.044	0.05	0.024	0.05	0.056	0.022	0.016	0.011	0.011	0.003	0.046	0.005	0.009	0.017	0.026	0.029	0.02	0.184	-0.236	0.019	0.007	0.014	0	-0.237
Pop049	0.009	-0.143	-0.261	-0.072	-0.286	-0.129	-0.149	-0.113	0.252	-0.003	-0.226	-0.263	-0.181	-0.21	-0.118	-0.196	-0.232	0.001	0.888	0.018	-0.082	-0.071	-0.123	-0.144	-0.165	-0.131	-0.131	-0.173	-0.132	0.05	-0.236	-0.189	-0.262	-0.294	-0.239	-0.1	-0.277	-0.257	-0.242	0.112	-0.205	-0.238	0.99	0.125	0.079	-0.256	-0.287	-0.237	0
