Filename,Population
EC.BA.LH-3.M.1,Baltimore
EC.BA.LH-3.M.5,Baltimore
EC.BA.LL-3.M.3,Baltimore
EC.BA.LL-3.M.5,Baltimore
EC.BA.LL-4.M.1,Baltimore
EC.BA.LL-4.M.2,Baltimore
EC.BA.LL-4.M.4,Baltimore
EC.BA.ML.U.1,Baltimore
EC.BA.ML.U.3,Baltimore
EC.BA.ML.U.4,Baltimore
EC.BA.PIK.U.2,Baltimore
EC.BA.PIK.U.3,Baltimore
EC.BA.PIK.U.5,Baltimore
EC.BA.PSP.M.1,Baltimore
EC.BA.PSP.M.4,Baltimore
EC.BA.PSP.M.5,Baltimore
EC.BA.TRC.U.1,Baltimore
EC.BA.TRC.U.2,Baltimore
EC.BA.TRC.U.3,Baltimore
EC.BA.TRC.U.4,Baltimore
EC.BA.TRC.U.5,Baltimore
EC.BA.WB.U.1,Baltimore
EC.BA.WB.U.3,Baltimore
EC.BA.WB.U.4,Baltimore
EC.BA.WB.U.5,Baltimore
EC.BA.WBO.U.4,Baltimore
EC.BO.R4.U.1,Boston
EC.LA.AC1.U.1,Los Angeles
EC.LA.AC1.U.2,Los Angeles
EC.LA.AC1.U.3,Los Angeles
EC.LA.AC1.U.4,Los Angeles
EC.LA.AC2.U.1,Los Angeles
EC.LA.AC2.U.2,Los Angeles
EC.LA.AC2.U.4,Los Angeles
EC.LA.DUR.U.1,Los Angeles
EC.LA.DUR.U.2,Los Angeles
EC.LA.DUR.U.4,Los Angeles
EC.LA.HOW.U.1,Los Angeles
EC.LA.HOW.U.2,Los Angeles
EC.LA.HOW.U.3,Los Angeles
EC.LA.HOW.U.4,Los Angeles
EC.LA.HOW.U.5,Los Angeles
EC.LA.SAN.U.2,Los Angeles
EC.LA.SAN.U.4,Los Angeles
EC.LA.SAN.U.5,Los Angeles
EC.LA.SGB.U.1,Los Angeles
EC.LA.SGB.U.2,Los Angeles
EC.LA.SGB.U.3,Los Angeles
EC.LA.SGB.U.4,Los Angeles
EC.LA.SGB.U.5,Los Angeles
EC.LA.SGR.U.2,Los Angeles
