,sublibrary,total_sequences,barcodes_not_found,low_quality,cutsite_not_found,retained_reads,%_retained,notes
0,AMH_macro_4_10_8px_S52,60662302,1494472,6859,0,59160971,97.53,
0,AMH_macro_4_11_8px_S53,51779708,1282618,5714,0,50491376,97.51,
0,AMH_macro_4_12_8px_S54,56982720,1209958,6273,0,55766489,97.87,
0,AMH_macro_4_13_8px_S55,55733466,1602894,6245,0,54124327,97.11,
0,AMH_macro_4_14_8px_S56,55002852,1451036,6032,0,53545784,97.35,
0,AMH_macro_4_2_12px_S44,79110760,1502080,8938,0,77599742,98.09,
0,AMH_macro_4_3_12px_S45,76863174,1642664,8757,0,75211753,97.85,
0,AMH_macro_4_4_12px_S46,76144442,1321674,8553,0,74814215,98.25,
0,AMH_macro_4_5_8px_S47,52799508,1158226,5964,0,51635318,97.8,
0,AMH_macro_4_6_8px_S48,61331398,1254634,6920,0,60069844,97.94,
0,AMH_macro_4_7_8px_S49,60854146,1210938,6750,0,59636458,98,
0,AMH_macro_4_8_8px_S50,64308680,1300966,7410,0,63000304,97.97,
0,AMH_macro_4_9_8px_S51,42830736,1190666,4788,0,41635282,97.21,
0,AMH_macro_5_1_8px_S57,68111056,1528356,7777,0,66574923,97.74,
0,AMH_macro_5_10_8px_S66,62946216,1521414,7023,0,61417779,97.57,
0,AMH_macro_5_11_8px_S67,37163290,1433406,4048,0,35725836,96.13,
0,AMH_macro_5_12_8px_S68,68823188,1602660,7907,0,67212621,97.66,
0,AMH_macro_5_13_8px_S69,70601406,1432580,8125,0,69160701,97.96,
0,AMH_macro_5_14_8px_S70,62301148,1413298,6885,0,60880965,97.72,
0,AMH_macro_5_2_8px_S58,58439896,1311976,6666,0,57121254,97.74,
0,AMH_macro_5_3_8px_S59,54875552,1264538,6075,0,53604939,97.68,
0,AMH_macro_5_4_8px_S60,57335150,1209038,6436,0,56119676,97.88,
0,AMH_macro_5_5_12px_S61,95090468,1609012,10827,0,93470629,98.3,
0,AMH_macro_5_6_12px_S62,88832762,2105474,9950,0,86717338,97.62,
0,AMH_macro_5_7_12px_S63,87124208,1729986,9750,0,85384472,98,
0,AMH_macro_5_8_12px_S64,88694262,1856868,10160,0,86827234,97.89,
0,AMH_macro_5_9_8px_S65,55515608,1251116,6224,0,54258268,97.74,
0,AMH_macro_6_1_8px_S71,49670920,1175544,5724,0,48489652,97.62,
0,AMH_macro_6_10_8px_S80,62035818,1382578,6951,0,60646289,97.76,
0,AMH_macro_6_11_8px_S81,61039812,1524850,6743,0,59508219,97.49,
0,AMH_macro_6_12_8px_S82,58487380,1275356,6372,0,57205652,97.81,
0,AMH_macro_6_13_8px_S83,67230120,1347520,7574,0,65875026,97.98,
0,AMH_macro_6_14_8px_S84,62400730,1283906,6863,0,61109961,97.93,
0,AMH_macro_6_2_8px_S72,47445762,1157884,5438,0,46282440,97.55,
0,AMH_macro_6_3_8px_S73,55591086,1136812,6424,0,54447850,97.94,
0,AMH_macro_6_4_8px_S74,56217326,1200494,6346,0,55010486,97.85,
0,AMH_macro_6_5_12px_S75,70207214,1415502,7925,0,68783787,97.97,
0,AMH_macro_6_6_12px_S76,71718658,1543260,8076,0,70167322,97.84,
0,AMH_macro_6_7_12px_S77,71228912,1743418,8081,0,69477413,97.5,Barcodes originally swapped with 6_8
0,AMH_macro_6_8_12px_S78,70673672,1583728,8051,0,69081893,97.7,Barcodes originally swapped with 6_7
0,AMH_macro_6_9_8px_S79,54773284,1326596,6159,0,53440529,97.57,
0,AMH_macro_7_1_8px_S85,71012782,1527788,7875,0,69477119,97.84,
0,AMH_macro_7_10_8px_S94,56589372,1387126,6456,0,55195790,97.54,
0,AMH_macro_7_11_8px_S95,72293074,1621104,8237,0,70663733,97.75,
0,AMH_macro_7_12_8px_S96,66763016,1445874,7382,0,65309760,97.82,
0,AMH_macro_7_13_8px_S97,63106044,1561804,7100,0,61537140,97.51,
0,AMH_macro_7_14_8px_S98,57561084,1304052,6406,0,56250626,97.72,
0,AMH_macro_7_2_8px_S86,70567460,1413128,7973,0,69146359,97.99,
0,AMH_macro_7_3_8px_S87,62092660,1322170,7182,0,60763308,97.86,
0,AMH_macro_7_4_8px_S88,68276228,1404062,7832,0,66864334,97.93,
0,AMH_macro_7_5_12px_S89,85497654,1773968,9476,0,83714210,97.91,
0,AMH_macro_7_6_12px_S90,79288316,1543750,8968,0,77735598,98.04,
0,AMH_macro_7_7_12px_S91,74447422,1537948,8450,0,72901024,97.92,
