"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"EC.PX.PSC.M.4",22,"EC.PX.PSC.M.4","Phoenix",0.500821229028964,227528,7.96309444299551,-0.0691438513132706,5.68761282678003,6.78320789474705,-0.100883913438383,-3.29031781517969,2.88414743152381
"EC.PX.DF1.M.1",23,"EC.PX.DF1.M.1","Phoenix",0.343222921178015,104951,7.13120171780525,-2.08375168014723,2.27844198730228,-2.10413378305313,-2.53301707247549,1.90319171032695,2.68080065419443
"EC.PX.DF1.M.2",24,"EC.PX.DF1.M.2","Phoenix",0.516112266683777,202434,12.4683607233879,0.91069051366601,0.529005750474049,4.61101767850426,-1.21241809888749,-0.351896310573441,-1.94974737474222
"EC.PX.DOW.M.1",25,"EC.PX.DOW.M.1","Phoenix",0.566763838759636,469019,13.2581739964822,0.574988224144949,1.34374940327654,8.85532966935837,-2.40205665624872,-2.18573246234128,-2.21304028463323
"EC.PX.DOW.M.2",26,"EC.PX.DOW.M.2","Phoenix",0.483081118610878,553959,7.81326824670646,1.04688993635195,7.20465988439824,12.3651054583693,-1.17611059364434,-2.72387144857958,9.00987776762085
"EC.PX.DOW.M.3",27,"EC.PX.DOW.M.3","Phoenix",0.464169622588187,109002,10.9054979215441,0.106655196566579,0.424905762877309,-0.206325880841314,0.262145777848902,-1.56758250412288,-0.754327155279747
"EC.PX.DOW.M.4",28,"EC.PX.DOW.M.4","Phoenix",0.496275362733468,246300,10.2661421456946,-0.209006409655304,3.54951295678675,5.98269849127546,-0.00653551632834249,-1.05777411939945,-0.059659691770179
"EC.PX.COY.M.1",29,"EC.PX.COY.M.1","Phoenix",0.418988429703272,64921,9.97311977240227,0.517344650204868,-1.97700922848029,-3.69110719165227,0.862137364337513,-0.523954743448607,-0.893525450022193
"EC.PX.COY.M.2",30,"EC.PX.COY.M.2","Phoenix",0.497376795762224,337921,12.1654635281995,-1.10580927082133,1.07401726412529,-0.196908301764454,2.11717697964084,5.23409164201611,-1.82485780309824
"EC.PX.COY.M.3",31,"EC.PX.COY.M.3","Phoenix",0.573286555433909,520867,13.1581128091119,0.932252184786344,-0.202210355856987,4.25057992028858,-0.895710719429094,-0.229200569437064,-4.69795960024639
"EC.PX.COY.M.5",32,"EC.PX.COY.M.5","Phoenix",0.425479734170787,57811,9.71788938054164,-0.267037558453923,-2.26882792272,-3.99944622837205,1.15567842693019,0.0618180317938984,-0.167502277341509
"EC.BA.WBO.U.4",33,"EC.BA.WBO.U.4","Baltimore",0.354117975042989,90505,-3.968879951042,5.00173846078353,-2.51141256270058,2.56363064642479,-0.905910832489974,1.91835287575434,1.17626208833608
"EC.BA.WB.U.4",34,"EC.BA.WB.U.4","Baltimore",0.488237084118488,174078,-3.59952637164265,3.35746528046007,-2.71984842085499,0.212243978643951,-3.13785534801168,0.551734459691931,-1.02481524100288
"EC.BA.WB.U.5",35,"EC.BA.WB.U.5","Baltimore",0.413197556126892,172046,-4.27085600313153,4.39636754836647,-1.42869947468641,1.71847162066055,-2.63759223707267,2.39688788476824,5.07286906553575
"EC.BA.FH.U.1",36,"EC.BA.FH.U.1","Baltimore",0.348060370120936,40494,-3.25223885038243,2.39353250638191,-1.94140491281542,-1.30823366353927,2.99797328422422,-2.21223894255792,1.14497480188204
"EC.BA.FH.U.2",37,"EC.BA.FH.U.2","Baltimore",0.406619959299246,108769,-3.98011052090812,3.47510206110458,6.43175909389665,-2.58166234921347,2.88780256910289,-3.72239295704199,-2.21924961386365
"EC.BA.FH.U.3",38,"EC.BA.FH.U.3","Baltimore",0.46619668739036,223722,-4.74530311343458,6.30371581477835,-4.61006835463735,1.99151733847089,-2.21041838134923,2.202256416638,1.65961603370864
"EC.BA.FH.U.4",39,"EC.BA.FH.U.4","Baltimore",0.54231159601354,217164,-4.59150049687776,5.56123532942749,1.41412303232668,-0.737228975428328,-2.09603047498362,-0.903327380649084,-3.59077200731669
"EC.BA.FH.U.5",40,"EC.BA.FH.U.5","Baltimore",0.334037091625597,64392,-3.26975089379883,1.47708086814633,-3.30908500298412,0.945764766267194,1.37926205561668,-0.86635171987224,0.0593147558964986
"EC.BA.CP.U.2",41,"EC.BA.CP.U.2","Baltimore",0.291176994088439,67178,-4.00351444730065,0.627304123323552,-2.4494948156172,0.265779789850572,3.75447777540244,-2.45521029453391,1.00390463478884
"EC.BA.CP.U.4",42,"EC.BA.CP.U.4","Baltimore",0.5650218819804,236921,-4.71206156019787,6.26426650582036,-0.718816307987115,0.721376868898893,-2.57164779485612,0.598819249717947,-2.90023062743301
"EC.BA.TRC.U.1",43,"EC.BA.TRC.U.1","Baltimore",0.461313144067633,125090,-4.34903481565009,5.40102628037228,-4.99700426839878,1.0916921710914,-1.66513793871736,1.51811091334093,2.00402652189741
"EC.BA.TRC.U.2",44,"EC.BA.TRC.U.2","Baltimore",0.451869589627009,110678,-3.3073183415205,2.87962624140882,4.28129978509214,-3.88478978918258,-0.928724713376935,-1.38585052683115,1.97726791603127
"EC.BA.TRC.U.3",45,"EC.BA.TRC.U.3","Baltimore",0.391785877771456,138137,-3.89310149671416,5.02364213377888,-1.24259177550613,-0.38835143406634,-1.19609207653169,2.01600833143196,4.33345468500739
"EC.BA.TRC.U.4",46,"EC.BA.TRC.U.4","Baltimore",0.376089064457955,108120,-2.42603154947142,1.56818362555376,4.66943004000988,-4.72371561768643,1.06565763577237,-0.813239836859007,1.1870144810259
"EC.BA.TRC.U.5",47,"EC.BA.TRC.U.5","Baltimore",0.373266752993674,327304,-1.84150148925402,3.15329398305695,1.92747480840481,-6.35335166310212,-1.21675974832471,-0.229495581476883,7.40494025590046
"EC.BA.LL-4.M.1",48,"EC.BA.LL-4.M.1","Baltimore",0.393350146106025,165412,-3.58795324214466,3.47031414927357,1.55570880388325,0.970790137220831,1.17772135386446,0.142645133101325,6.16916590363884
"EC.BA.LL-4.M.2",49,"EC.BA.LL-4.M.2","Baltimore",0.439544264234083,112149,-4.43705506460281,4.92236192216674,-3.33892556964644,1.67426616629743,-1.27890706203978,-0.022208015243428,-1.22125457482474
