"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"TO.BA.CP.U.1",11,"TO.BA.CP.U.1","Baltimore",0.435679741775622,131037,-1.4082694499873,-0.554773562233018,1.03101030043288,-0.84039389005874,-0.643540998465084,0.634540315953112,-0.785641713743327,-0.152671465218885,-2.0341604357299,-0.689287746184152,-1.11982246945305,-0.879585077030448,0.344109397183564,0.545819542324757,-0.045205290444432,0.362222282323528,0.691643933920495,-0.138282719733805,-0.202768664367194,-1.04214477368797,-0.0675538468466513
"TO.BA.CP.U.2",12,"TO.BA.CP.U.2","Baltimore",0.381888467850956,67626,-1.33110835384452,0.213959464645154,2.76045593186377,-1.00210070633487,-3.91456230923078,-0.222310043679084,-1.04033368497554,0.71585549912631,-1.8689260717101,-0.272763091755325,-0.569142592155262,-0.0305631733129639,0.331658725503822,0.077340813957332,0.187839152349442,0.279110348661388,-0.674522105998569,0.369133351936623,0.218863972924319,-0.325018859572083,-0.151161889278609
"TO.BA.CP.U.3",13,"TO.BA.CP.U.3","Baltimore",0.431675057560718,177202,0.343200422139442,-0.46316295157447,-1.32508344812077,-0.22264875119872,-1.17696777845275,2.40473416889813,3.83198305175537,1.95733826821338,-0.115247153216293,0.0353305196923729,-0.155427996184062,-0.542566219132262,-0.8388625704411,1.30222550575623,0.0372625632838654,-0.219357701978063,-0.115503000907213,-0.89110243926729,-0.0266321251842094,0.700638906112684,0.209146231018815
"TO.BA.CP.U.4",14,"TO.BA.CP.U.4","Baltimore",0.556796317324506,361395,2.76292251091899,0.469311836778203,2.59479290760964,4.56002067335847,1.3259483299185,-0.889055457341318,1.27795576698495,-0.324103212211726,0.737948888076758,-1.46118024637414,-0.271674576559034,0.888708693262003,0.602003567270052,-1.27080147561711,-1.37125687090553,0.0690191128132392,-2.2328186384121,-0.0232167344661861,0.0858657379708033,-0.161980560956541,1.89737695280368
"TO.BA.FH.U.1",15,"TO.BA.FH.U.1","Baltimore",0.311876626206703,4676,2.02298545559601,0.247003465876047,-1.53069941154446,-0.942999535970905,-1.27729718509768,-2.54661970631643,-0.164348117198335,-0.815762865655323,0.0463943967724962,0.37228329225579,0.980033941336515,-0.503067495388732,0.605611682865199,-0.151363976301048,-0.000137422377242537,-0.114911076922173,-0.277060375303863,0.317092420534481,-0.0572703311401765,-0.0611622982629165,-0.0709760166130108
"TO.BA.FH.U.2",16,"TO.BA.FH.U.2","Baltimore",0.538633621850181,274733,0.221338266721842,-1.31442839655095,0.0648184973171552,-0.908041315167953,2.50787067184072,1.90648477634479,0.741879708704817,0.115248098766913,0.655279982654652,-0.859349821905307,-1.52470019734998,-0.014560289544587,1.14431686447372,0.674482420520127,0.330731974692894,0.336340566396277,-0.393461533484009,-1.54646199220017,0.4067358590428,2.30829449581854,0.604195844589657
"TO.BA.FH.U.4",17,"TO.BA.FH.U.4","Baltimore",0.42617859480878,105427,0.697477390042102,0.468119606568173,2.16861563968473,-2.13824699732396,-0.641383699768091,-2.53000779238022,0.0148354788127742,-0.692413081074327,0.351459757364334,0.704299628154298,0.791394302009627,-0.478486513165922,0.868686808604277,0.32709365025942,0.693550792804388,-0.348965212588106,-0.381470032054247,-0.328807395597372,-0.274758741328397,-0.201694252519961,-0.810989505458207
"TO.BA.FH.U.5",18,"TO.BA.FH.U.5","Baltimore",0.451767048925978,47169,1.68243945229992,0.275788863476944,-2.8363719263211,-0.384496265575569,-2.36691465294272,2.21270896858507,-3.42571448001461,-1.89884603125363,-0.313816889953549,-0.810852599705001,0.627816800689851,-0.624408179069846,0.264153344244444,0.714894574117736,-0.578708644304852,0.695846169010387,-0.306921681479804,0.604286960330182,0.322061980510435,-0.550087111581184,0.168926900752298
"TO.BA.GA.U.1",19,"TO.BA.GA.U.1","Baltimore",0.561577572162075,350062,1.51952770983715,-0.580543547647153,-0.317414586803397,-1.17615810241138,2.61567738111314,-2.13313206005065,-0.127309817677509,2.59411556715747,-3.4029587091474,-0.52349702259021,-1.85578835738193,-0.121024713868587,1.52000756056838,-0.650353234508988,-0.811016406524604,2.06694108350817,-1.20744538113948,0.426250312263255,0.777336447579186,0.174722253138367,0.474792757325989
"TO.BA.GA.U.2",20,"TO.BA.GA.U.2","Baltimore",0.475275036163879,283825,0.975832423879506,-0.352305530703157,-1.4368921315997,-0.711677350853994,0.203414443574618,2.74740120629965,0.867067775372718,0.374906126653586,-2.9461989916718,-0.830651426757343,3.45128547440069,0.976393682048087,0.191145123604793,2.83942058368401,-2.08858680124328,1.790908235644,0.133737940104878,0.0979793488852295,0.600375013213001,0.379607979737029,-1.57531974112692
"TO.BA.GA.U.3",21,"TO.BA.GA.U.3","Baltimore",0.429854910913524,147040,0.386268451188895,0.33928075083281,1.84643189728189,-1.13001644125978,-2.23660659986798,1.94160226223946,-1.90440016246502,-0.158278499926235,-1.24862268072062,-1.37083686920115,-1.10630986713967,-0.0728505473410969,0.233472326255426,0.0835593836669109,-0.24622326549014,-0.332153165510052,-0.863841307703233,0.0207673279299613,0.371894445985886,0.211335492541579,-0.139785511150529
"TO.BA.GA.U.4",22,"TO.BA.GA.U.4","Baltimore",0.442007912380593,243604,1.39540620716327,-0.0203822293136139,-2.20248660307225,-0.568059287823905,-0.529008034069886,2.64390438741127,2.94133406283425,-2.05793771045566,-0.410923030279408,0.14847632719727,1.35236564970072,-0.28266596690789,-0.44757196494771,-0.794991038530843,-0.987928676808038,0.198548147285871,-0.695675400637139,-0.654256640013303,-0.481014645697353,0.827638124694847,-1.74018039067095
"TO.BA.GA.U.5",23,"TO.BA.GA.U.5","Baltimore",0.51285206749299,84374,-0.537993062313916,1.35069160873813,3.33012582318789,-0.510875867162537,-0.588283261627729,0.095084439632593,-0.36698972187869,-0.895028314870345,0.49858402801875,-0.967800477620479,-1.14880697189727,0.0769414444787083,-0.0318677969777709,-0.589243964929445,0.815195158580413,0.592296092525562,-0.352430739232243,-0.168787753928109,0.343949778634675,0.0426094548909675,-0.751473067099601
"TO.BA.LH-1.M.2",24,"TO.BA.LH-1.M.2","Baltimore",0.481168726073076,170789,-0.19675346552084,-0.151024687035585,0.672248003947064,-0.693430251182796,0.314442499275044,2.01026221771043,-0.297668300325369,0.338957814619286,-0.738193103589035,-0.208232837618534,1.1238823065015,2.00355354390532,-0.327523938698556,1.1131668109683,0.306868785503562,1.05672270153587,1.33754858264124,0.179013616519416,-0.685358920767881,0.690986607295521,-0.343940372708529
"TO.BA.LH-1.M.4",25,"TO.BA.LH-1.M.4","Baltimore",0.463118568090019,162713,2.55087041590709,0.854526472058471,-0.594262287585912,2.79305175548185,-1.45501121701726,0.111004789766814,-0.0092863212974969,-1.03419756323952,-0.789456277072822,0.162135266565612,-0.704483962735986,0.122985279665771,0.700444977361979,-0.707381640637835,-0.510960040831378,-2.2965716767036,-0.566348166457676,-0.162344550119451,-0.638174257823875,-0.750315140350421,-1.02286944214644
"TO.BA.LH-1.M.5",26,"TO.BA.LH-1.M.5","Baltimore",0.524298082449816,303343,1.01230573030867,-0.153356553424226,1.45917291568465,-2.77652982240861,2.83870887203026,-2.17626045235343,-0.113940707216737,0.338042109736163,1.45939387936264,-1.38306273135945,1.88243331320445,-4.38706912086383,-0.929732671474446,0.615697927406014,1.83136604389476,-2.13293040191882,1.12235582311023,-0.394645218770142,-0.34733354772744,-1.15972289199026,0.0154334631382733
