"","X","V1","V2","HindHe","Depth","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"CD.BA.WGP.M.2",57,"CD.BA.WGP.M.2","Baltimore",0.376494702840257,545869,10.6892472396571,1.80860479824282,-3.32381215703232,5.64480977875893,-1.38394559501812,-1.86623448340895,-4.21831034300417,3.24404659622909,0.746772520106649,-3.79642893997686
"CD.BA.WGP.M.3",58,"CD.BA.WGP.M.3","Baltimore",0.298290913006044,297238,7.52771330596993,1.99847614233261,-0.277190869972749,-0.29461335869033,0.962481178308148,0.737573097541985,-2.11851785186544,2.25404068198444,4.49305010032535,-1.26779430892923
"CD.BA.WGP.M.4",59,"CD.BA.WGP.M.4","Baltimore",0.269264887476277,67441,7.23441440019107,0.281115569444132,5.5535711725999,-2.63412619684258,-0.30556070021865,1.0768314715317,2.4941223881875,-1.8642022596791,-1.10966462289005,0.0479916838659794
"CD.BA.WGP.M.5",60,"CD.BA.WGP.M.5","Baltimore",0.39332746949583,442933,8.87545520482008,1.85544346725208,-1.10929218339878,-3.52065392530488,4.04201708442201,0.932703714181658,0.421933526648714,-2.39711763385163,-0.171818753878054,3.78215925381465
"CD.LA.ALL.M.1",61,"CD.LA.ALL.M.1","Los Angeles",0.319255930630099,103618,-3.48439639093914,-6.13633485425634,1.63574801037964,-3.69498670184429,-1.25875400744958,3.64511435692685,-3.33359315252622,-5.38804755108395,-0.813938761230066,-7.00006648333356
"CD.LA.ALL.M.2",62,"CD.LA.ALL.M.2","Los Angeles",0.340450632939158,735409,-3.40628351405113,-6.16771693333579,-2.5218018706376,3.03163391570093,-1.51813478765618,-1.62754756683487,1.00118625648814,-0.508583254146094,-0.552687746438096,3.67883852930599
"CD.LA.ALL.M.3",63,"CD.LA.ALL.M.3","Los Angeles",0.418789061219548,490739,-4.23204486923217,-7.44171879488366,-1.51531460492319,1.6568360845891,-0.189763229697295,-2.16022378267555,-2.03733148009946,1.09904364052927,-1.32368288863504,2.62322132874836
"CD.LA.ALL.M.4",64,"CD.LA.ALL.M.4","Los Angeles",0.36154204192619,324934,-3.77861257567304,-7.86154696087779,-2.3723480818537,0.191689244549991,-2.50775222263594,-1.0595865903937,0.386072393761591,2.66017487966507,-3.0257667434647,2.21469422747449
"CD.LA.ALL.M.5",65,"CD.LA.ALL.M.5","Los Angeles",0.377353053399052,512326,-3.76965984689892,-6.85776531069269,-1.83110476111358,-1.99753612819631,0.94067401436209,-2.39730321760898,0.544894686548525,1.13013221155097,-1.34700566815348,1.39905164423223
"CD.LA.GLO.M.2",66,"CD.LA.GLO.M.2","Los Angeles",0.497982198589999,1057749,1.53150306894746,-3.79925477314578,-2.94022474080144,3.19754438633406,0.408158741276821,-2.05544442050242,-7.15015020276138,1.87900732042101,1.67234484822926,4.21645495385033
"CD.LA.GLO.M.4",67,"CD.LA.GLO.M.4","Los Angeles",0.450280697719581,910332,1.83119834493928,-3.80482638638917,-1.5714591329296,-0.78681280650046,0.138088665629485,-1.8880876176065,-3.58463714631106,2.2555252888577,2.95559817488146,2.57975402322988
"CD.LA.GLO.M.5",68,"CD.LA.GLO.M.5","Los Angeles",0.468038470208444,877513,2.01332604462856,-3.63817674235994,-2.49393191418672,3.99811271541855,-0.145586598869437,-2.95914314303479,-7.66002963313105,2.21194616370562,0.815588485558158,3.72134856208532
"CD.LA.HAR.M.1",69,"CD.LA.HAR.M.1","Los Angeles",0.444880533487043,541493,-4.58616955475246,-8.2201417804765,-4.61071525002352,-4.12708704661943,0.472645647237914,-1.75626010413141,-0.443287998629867,1.66794224559104,-2.95083611660083,-2.42800344721499
"CD.LA.HAR.M.3",70,"CD.LA.HAR.M.3","Los Angeles",0.425929295193254,628655,-4.17998653583372,-7.51143909294855,-5.26360848950527,-5.85410749078284,1.35467519568084,-1.4955613097892,-0.733563734657696,3.09430355059112,-2.36069454170307,-2.55781870730308
"CD.LA.HAR.M.4",71,"CD.LA.HAR.M.4","Los Angeles",0.426006566161219,763403,-4.22673464191643,-6.84756727422604,0.840321305805634,2.08610908554094,0.371265275730028,-1.33872639148826,-4.62170734287215,0.452960271514401,-0.813039710014708,1.48524623935964
"CD.LA.HAR.M.5",72,"CD.LA.HAR.M.5","Los Angeles",0.38415351994104,168542,1.84196262899177,-3.77503402442242,4.95721401080783,-1.08008553469878,-2.33297921362043,2.55078504765263,0.820032476016264,0.181071315718768,1.29708410739424,-0.0347930068201432
"CD.LA.KIN.M.1",73,"CD.LA.KIN.M.1","Los Angeles",0.432573370293617,636090,-4.38249874449517,-7.8191978355931,-6.87745034165381,-6.71500042786767,1.41358559386757,-1.71347851505864,0.467267035248293,3.19517327568445,-3.67272128601528,-2.11590221546358
"CD.LA.KIN.M.2",74,"CD.LA.KIN.M.2","Los Angeles",0.441174866623064,533720,-4.62881721322019,-7.16282039603315,-0.129594460614567,2.40670020192972,0.184088431976876,-2.11503486456961,-2.68063294006285,1.52203427356189,-1.44670130288177,3.81618925837812
"CD.LA.KIN.M.3",75,"CD.LA.KIN.M.3","Los Angeles",0.455736001017064,952726,1.90242541439362,-4.22224741730951,-0.902075290450543,1.46013821141405,-2.45485593382233,-0.56129189795184,-0.442426944327296,2.64055641770337,-1.62637037422326,0.727442331018946
"CD.LA.KIN.M.4",76,"CD.LA.KIN.M.4","Los Angeles",0.25455497338514,142438,-2.4937556871578,-5.44628896030011,-2.29134115181771,5.70188810086282,-1.47481282510782,0.679145003237939,7.79763560113549,-2.78254560448874,3.52301047163228,1.18122946566693
"CD.LA.KIN.M.5",77,"CD.LA.KIN.M.5","Los Angeles",0.390303632172011,500790,2.34922245237041,-4.09034479780176,1.18036226515915,-1.61907190533286,-2.13204176511286,1.03168322070808,1.39600358345603,-2.18230822164739,-0.2302708554027,-3.86149097516925
